Label,Precision,Recall,F1,Support,Accuracy,MCC
CATHODE_MATERIAL,0.628,0.787,0.699,1262,,
COATING_MATERIAL,0.632,0.787,0.701,1305,,
COATING_METHOD,0.810,0.545,0.652,352,,
OVERALL,0.642,0.758,0.695,,0.978,0.796
