Label,Precision,Recall,F1,Support,Accuracy,MCC
CATHODE_MATERIAL,0.609,0.750,0.672,420,,
COATING_MATERIAL,0.551,0.724,0.626,359,,
COATING_METHOD,0.851,0.552,0.670,134,,
OVERALL,0.603,0.711,0.653,,0.969,0.734
